137a5e08-f220-4b16-a035-be49a486b4c4,33,1,Speaker,8,356.3,,2024-10-05,PP,PayPal
d3c983e5-468e-4670-a5d4-35e191f948b8,96,1,Speaker,9,63.33,569.97,2024-09-04,CC,Credit Card
12903ddb-76cc-4bc8-8200-86803a6b22b7,32,1,Speaker,10,392.82,3928.2,2024-12-08,CA,Cash
e52ef0b9-f85b-410b-aa17-7c60e50e6b9e,59,1,Speaker,7,368.16,2577.12,2024-08-24,CC,Credit Card
91723c31-8f5d-4d6b-877e-8b70d936f4c3,37,1,Speaker,2,156.03,,2024-08-15,CA,Cash
21ea68ba-708e-443c-b4ae-8b27c6c1d749,26,1,Speaker,5,11.04,55.2,2024-10-08,CA,Cash
492f2412-f067-451b-8286-9c99055f5642,28,1,Speaker2,5,130.94,654.7,2024-10-28,CC,Credit Card
4f74548e-dab4-4472-aafc-7c1824c56540,15,1,Speaker,1,345.09,345.09,2024-05-07,CC,Credit Card
a32dcec8-90d8-424b-ab68-b67f2c2399e2,56,1,Speaker,8,194.09,1552.72,2024-11-06,BT,Bank Transfer
15e13179-fa51-4adc-baf5-01be6032cec4,52,2,Printer,4,364.95,1459.8,2024-02-28,,Unknown
cff75517-9f1d-47cf-8a8b-c10640e8750f,14,2,Printer,9,430.5,3874.5,2024-07-09,CA,Cash
d5f68f92-dc78-4157-bcb2-555b0f2bc9a3,21,2,Printer,6,180.91,1085.46,2024-08-11,BT,Bank Transfer
6b856829-9ff4-4c67-a628-41f65da40bc3,25,2,Printer,4,247.17,988.68,2024-06-28,CC,Credit Card
74b44a10-79aa-4d3c-81c6-ffdb6adc978c,18,2,Printer,1,416.0,416.0,2024-11-24,CA,Cash
4b89b854-071f-46f2-b58e-195f25d54c13,25,2,Printer,5,234.76,1173.8,2024-04-22,CA,Cash
c1b681ba-31e8-4b26-8b5d-223cf926b576,1,3,VR Headset,4,366.68,1466.72,2024-03-17,CC,Credit Card
1103bca8-1d3d-49c8-85cf-2cc31ff14f8f,23,3,VR Headset,6,401.79,2410.74,2024-11-17,BT,Bank Transfer
e5e9da61-4037-41dd-afce-504a3c8c6310,98,3,VR Headset,3,333.36,1000.08,2024-03-20,PP,PayPal
6cb49739-fe55-48f1-bab1-199f81bf55bd,14,3,VR Headset,8,74.52,596.16,2024-12-28,CA,Cash
ca724b16-5f67-4362-8a0a-598ccd8093fc,54,3,VR Headset,2,387.21,774.42,2024-10-25,CA,Cash
d9ec9494-1930-468c-8682-182aab4d427a,47,3,VR Headset,5,164.8,824.0,2024-10-15,CA,Cash
95436690-21fa-4fcd-a2ca-cb56d8272e4f,10,3,VR Headset,8,328.65,2629.2,2024-06-20,CA,Cash
db2f6999-1b9c-4518-b4c3-538638334fd4,54,3,VR Headset,8,368.07,2944.56,2024-11-03,CC,Credit Card
79ee5c6a-758c-4eed-a01e-36a60a210e1b,62,3,VR Headset,9,62.85,565.65,2024-10-27,CC,Credit Card
